name,locality,cuisines,cost,highlights,aggregate_rating,rating_text,votes,type
Mirabilia,Karanpur,"North Indian, South Indian, Continental",1200,"Debit Card, Cash, Takeaway Available, Serves Alcohol, Delivery, Dinner, Credit Card, Lunch, Table booking recommended, Air Conditioned, Fullbar, Indoor Seating, Outdoor Seating, Wifi",4.6,Excellent,306,Casual Dining
Dunkin Donuts,"Pacific Mall, Jakhan","Cafe, Beverages, Burger, Desserts",600,"Delivery, Debit Card, No Alcohol Available, Dinner, Mall Parking, Cash, Credit Card, Lunch, Outdoor Seating, Digital Payments Accepted, Desserts and Bakes, Indoor Seating, Air Conditioned",4.2,Very Good,264,Quick Bites
KFC,"Pacific Mall, Jakhan","Burger, Fast Food",450,"Cash, Credit Card, Delivery, Takeaway Available, Mall Parking, No Alcohol Available, Lunch, Dinner, Indoor Seating, Air Conditioned, Self Service",4.1,Very Good,243,Quick Bites
Infamous Bistro & Bar,Jakhan,Cafe,500,"Cash, Dinner, Debit Card, Takeaway Available, Lunch, Credit Card, Indoor Seating, Fullbar",4.1,Very Good,286,Cafe
Town Table Restaurant,Hathibarkala Salwala,"North Indian, Chinese, Continental",1800,"Lunch, Delivery, Serves Alcohol, Cash, Dinner, Credit Card, Debit Card, Indoor Seating, 4/5 Star, Table Reservation Not Required, Serves Cocktails, Luxury Dining, Air Conditioned, Fullbar",4.2,Very Good,322,Fine Dining
First Gear Cafe,Malsi,"Cafe, Chinese",700,"Cash, Takeaway Available, Lunch, Credit Card, No Alcohol Available, Dinner, Debit Card, Outdoor Seating",4.2,Very Good,401,Cafe
Super Donuts,Hathibarkala Salwala,"American, Fast Food, Desserts, Cafe, Italian, Sandwich, Wraps, Burger",400,"Cash, Dinner, Debit Card, Takeaway Available, Breakfast, Credit Card, Delivery, Desserts and Bakes, Digital Payments Accepted, Wifi, Air Conditioned, Indoor Seating, Free Wifi, Self Service",4.4,Very Good,258,Dessert Parlour
Anandam,Ballupur,"Desserts, North Indian, Chinese, South Indian, Fast Food, Street Food",650,Cash,4.3,Very Good,196,Sweet Shop
Cafe Village Highway,Balliwala,"Cafe, Indian, Italian",500,"Cash, Debit Card, Breakfast, Dinner, Takeaway Available, Credit Card, Lunch, Serves Alcohol, Outdoor Seating, Wine, Live Music, Indoor Seating, Digital Payments Accepted, Beer",4.1,Very Good,280,Cafe
KFC,Hathibarkala Salwala,"Burger, Fast Food",450,"Takeaway Available, Cash, Lunch, No Alcohol Available, Credit Card, Debit Card, Dinner, Indoor Seating, Free Parking, Digital Payments Accepted, Air Conditioned",4,Very Good,224,Quick Bites
The Buffet Snack Shop,Chukkuwala,Fast Food,100,"No Alcohol Available, Cash, Lunch, Takeaway Available, Dinner, Pure Veg, Outdoor Seating, Indoor Seating, Free Parking",4.5,Excellent,404,Bakery
South Indian Vibes Restaurant,Karanpur,South Indian,600,"Takeaway Available, Dinner, Cash, No Alcohol Available, Breakfast, Delivery, Lunch, Indoor Seating, Air Conditioned, Table Reservation Not Required, Wifi, Pure Veg",4.3,Very Good,213,Casual Dining
Mc Donalds,Karanpur,"Burger, Fast Food",500,"Lunch, Takeaway Available, Breakfast, Dinner, Cash, Credit Card, Debit Card, Kid Friendly, Indoor Seating, Air Conditioned",4.1,Very Good,373,Quick Bites
Big Feast,Jakhan,"BBQ, North Indian, Chinese, Desserts",600,"Lunch, Cash, Delivery, Credit Card, No Alcohol Available, Dinner, Takeaway Available, Debit Card, Indoor Seating, Table booking recommended, Air Conditioned, Buffet, Group Meal, Digital Payments Accepted, Kid Friendly, Self Service, Brunch",4.2,Very Good,439,Casual Dining
Udupi Cafe Bangalore Idli,Karanpur,South Indian,300,"Takeaway Available, Dinner, Lunch, No Alcohol Available, Cash, Breakfast, Delivery, Indoor Seating, Pure Veg, Free Parking, Digital Payments Accepted",4,Very Good,239,Quick Bites
Eddies Patisserie,Khurbura,Bakery,350,"Takeaway Available, Cash, Outdoor Seating, Smoking Area, Digital Payments Accepted",4.3,Very Good,234,Bakery
Nazims Kathi Roll,Jakhan,"Fast Food, Rolls",300,"Delivery, Lunch, Cash, Dinner, Takeaway Available, Indoor Seating, Digital Payments Accepted",4.2,Very Good,296,Casual Dining
Countdown Fast Food,Karanpur,"North Indian, Chinese",500,"Lunch, Cash, No Alcohol Available, Dinner, Takeaway Available, Indoor Seating, Air Conditioned, Table Reservation Not Required",4.1,Very Good,271,Casual Dining
KFC,Prem Nagar,Fast Food,450,"Lunch, Cash, Delivery, Credit Card, No Alcohol Available, Dinner, Takeaway Available, Debit Card, Indoor Seating, Air Conditioned, Self Service",4.1,Very Good,181,Quick Bites
Mussoorie Lights,Chukkuwala,"North Indian, Continental, Italian, Mexican, Afghan",1500,"Lunch, Serves Alcohol, Takeaway Available, Dinner, Cash, Delivery, Credit Card, Free Parking, Fullbar, Indoor Seating, Axis Bank - Dining Delights, Wifi, Live Entertainment, Outdoor Seating, Rooftop, Above 18 Only",4.1,Very Good,314,Casual Dining
Tirupati Restaurant,Chukkuwala,"South Indian, North Indian, Chinese",600,"Delivery, Lunch, Takeaway Available, Breakfast, Cash, Dinner, Credit Card, Debit Card, Pure Veg, Air Conditioned, Indoor Seating, Digital Payments Accepted, Axis Bank - Dining Delights",4.1,Very Good,308,Casual Dining
Anandpuri Restaurant,Hathibarkala Salwala,"North Indian, South Indian, Mishti, Desserts",400,"Dinner, Cash, Lunch, Delivery, Indoor Seating, Pure Veg, Table Reservation Not Required",4,Very Good,188,Sweet Shop
Pizza Hut,Balliwala,Pizza,600,"Cash, Delivery, Takeaway Available, Dinner, Debit Card, Lunch, Credit Card, Indoor Seating, Air Conditioned, Digital Payments Accepted, Axis Bank - Dining Delights",3.7,Good,196,Casual Dining
Bawarchi,Majra,"North Indian, Chinese, Pizza",800,"Dinner, Lunch, Cash, Air Conditioned, Outdoor Seating",4,Very Good,197,Casual Dining
Waffles & Crepes,Karanpur,"Cafe, French, Desserts",300,"Lunch, Cash, Credit Card, No Alcohol Available, Dinner, Takeaway Available, Debit Card, Indoor Seating",4.2,Very Good,182,Cafe
