name,locality,cuisines,cost,highlights,aggregate_rating,rating_text,votes,type
Goyal Dairy,Ballupur,Beverages,100,"Cash, Takeaway Available, Indoor Seating",0,Not rated,1,Quick Bites
New Diksha Bhojanalaya,Dharampur,North Indian,100,"Available, Cash",0,Not rated,1,Quick Bites
Scoops Ice Cream Cafe,Krishna Nagar,Ice Cream,100,"No Seating Available, Cash, Takeaway Available, Desserts and Bakes, Digital Payments Accepted",0,Not rated,0,Dessert Parlour
Momos Planet,Karanpur,Fast Food,100,"Lunch, Cash, Dinner, Takeaway Available, Outdoor Seating, Indoor Seating",0,Not rated,1,Quick Bites
The Lunch Box,Kaonli,North Indian,100,"No Seating Available, Lunch, Cash, Takeaway Available, Digital Payments Accepted, Self Service",0,Not rated,0,Food Truck
Bismillah Dhaba,Paltan Bazaar,North Indian,100,"Dinner, Lunch, Indoor Seating",0,Not rated,0,Dhaba
Sri Sai Lucky Restaurant,Paltan Bazaar,Fast Food,100,"No Alcohol Available, Cash, Dinner, Lunch, Takeaway Available, Pure Veg, Free Parking, Digital Payments Accepted, Indoor Seating",0,Not rated,0,Quick Bites
Sharma Spicy Food,Prem Nagar,"North Indian, Fast Food",100,"No Seating Available, Dinner, Takeaway Available, Lunch, Cash, Breakfast",0,Not rated,0,Quick Bites
Munal Tea Express,Karanpur,"Fast Food, Beverages",100,"Lunch, Takeaway Available, Cash, Delivery, Outdoor Seating, Smoking Area, Indoor Seating",0,Not rated,0,Quick Bites
Wongs Chinese,Majra,"Chinese, Fast Food",100,"Takeaway Available, Debit Card, Dinner, Cash, Credit Card, Lunch, Delivery, Indoor Seating, Digital Payments Accepted",0,Not rated,0,Quick Bites
Lazezz Kathi Roll From Kolkatas,Ballupur,Rolls,120,"Delivery, No Alcohol Available, Cash, Takeaway Available, Indoor Seating",3.7,Good,38,Quick Bites
Night Owls,Morowala,"Fast Food, North Indian, Chinese",149,"Delivery, Credit Card, Debit Card, Dinner, Cash, Takeaway Available, Breakfast, Indoor Seating, Digital Payments Accepted",3.4,Average,21,Quick Bites
Roll Baby Roll,Majra,"Biryani, Chinese, North Indian, Rolls, Mughlai",150,"Cash, Takeaway Available, Delivery",3.8,Good,89,Restaurant/Shop
Singh Soup Bar,Hathibarkala Salwala,Fast Food,150,"No Alcohol Available, Cash, Dinner, Credit Card, Takeaway Available, Lunch, Debit Card, Outdoor Seating",3.6,Good,93,Quick Bites
Anas & Andyz,Balliwala,"Burger, Sandwich, Fast Food",150,"No Alcohol Available, Delivery, Cash, Free Parking, Digital Payments Accepted, Indoor Seating",4.1,Very Good,80,Quick Bites
The Doon Jaayaka,Balliwala,"North Indian, Fast Food",150,"No Alcohol Available, Dinner, Takeaway Available, Lunch, Cash, Free Parking, Indoor Seating",3.6,Good,95,Quick Bites
Goli Vada Pav No. 1,Jakhan,Street Food,150,"Cash, No Alcohol Available, Delivery, Takeaway Available, Dinner, Lunch, Indoor Seating, Free Parking, Pure Veg, Digital Payments Accepted",4.1,Very Good,91,Quick Bites
SPS Rana Family Restaurant (KAKU),Dharampur,"North Indian, Chinese",150,"Dinner, Delivery, Credit Card, Lunch, Cash, Takeaway Available, Debit Card, Indoor Seating",3.6,Good,48,Quick Bites
Jaina Restaurant,Paltan Bazaar,Fast Food,150,"Cash, Dinner, Takeaway Available, No Alcohol Available, Lunch, Pure Veg, Free Parking, Indoor Seating",3.9,Good,74,Dhaba
Punjabi Rasoi,Majra,North Indian,150,"No Seating Available, Delivery, Cash, Takeaway Available",3.6,Good,26,Restaurant/Shop
Kalra Sweet Shop,Prem Nagar,"Street Food, Mithai, Fast Food",150,"Cash, Takeaway Available, Indoor Seating, Desserts and Bakes, Digital Payments Accepted",3.5,Good,50,Sweet Shop
Sangam Food Point,Subhash Nagar,North Indian,150,"Dinner, Cash, Credit Card, Debit Card, Lunch, Takeaway Available, Breakfast, Indoor Seating, Digital Payments Accepted",4.1,Very Good,37,Quick Bites
Gianis,Race Course,"Ice Cream, Desserts",150,"Cash, Credit Card, Delivery, Indoor Seating, Air Conditioned, Desserts and Bakes",3.8,Good,43,Dessert Parlour
Roll Baby Roll,Krishna Nagar,"Biryani, Chinese, North Indian, Rolls, Mughlai",150,"Cash, Takeaway Available, Delivery",3.6,Good,24,Restaurant/Shop
Sardarji Di Rasoi,Jakhan,North Indian,150,"Credit Card, Dinner, Delivery, Debit Card, Lunch, Cash, Takeaway Available, Indoor Seating",2.7,Average,31,Quick Bites
Tandons Fast Food,Rajpur,"Chinese, Momos",150,"Cash, Dinner, Delivery, No Alcohol Available, Lunch, Indoor Seating",4,Very Good,43,Dhaba
Sunrise Bakers,Paltan Bazaar,Bakery,150,"Cash, Takeaway Available, Indoor Seating, Desserts and Bakes",3.8,Good,54,Bakery
Jeeja Saaley Di Angeethi,Ballupur,"Fast Food, Momos, Chinese",150,"Cash, Dinner, Lunch, Takeaway Available, Pure Veg",3.7,Good,33,Quick Bites
Street Buster,Khurbura,"Fast Food, Pizza, Beverages",150,"Dinner, Delivery, Debit Card, Lunch, Cash, Takeaway Available, Credit Card, Indoor Seating, Air Conditioned, Pure Veg, Free Wifi",3.5,Good,21,Quick Bites
The Bun Basket,Jakhan,Bakery,150,"Takeaway Available, Cash, Credit Card, Debit Card, Air Conditioned, Desserts and Bakes, Indoor Seating",2.7,Average,20,Bakery
Friends Sandwich Corner,Prem Nagar,Fast Food,150,"No Alcohol Available, Cash, Dinner, Takeaway Available, Lunch, Indoor Seating, Free Parking",3.5,Good,41,Quick Bites
Bhardwaj Bakers,Dharampur,"Fast Food, Desserts, Bakery",150,"No Seating Available, Delivery, Cash, Takeaway Available, Digital Payments Accepted, Desserts and Bakes",3.3,Average,25,Quick Bites
Lucky Da Dhaba,Race Course,North Indian,150,"Dinner, Lunch, No Alcohol Available, Breakfast, Takeaway Available, Cash, Indoor Seating",3.4,Average,26,Dhaba
Prakash and Brothers Dhaba,Majra,North Indian,150,"Dinner, Cash, Lunch, Takeaway Available, Indoor Seating, Pure Veg, Digital Payments Accepted",3.5,Good,24,Quick Bites
WOW Chinese,Krishna Nagar,Chinese,150,"Cash, Lunch, Dinner, Takeaway Available, No Alcohol Available, Outdoor Seating",3.5,Good,22,Quick Bites
Chappan Bhog,Race Course,Mithai,150,"Cash, Takeaway Available, Indoor Seating, Pure Veg, Desserts and Bakes",3.5,Good,18,Sweet Shop
The 7th Street Cafe,Subhash Nagar,"North Indian, Fast Food",150,"Dinner, Cash, Takeaway Available, Lunch, Breakfast, Indoor Seating, Kid Friendly, Smoking Area",3.3,Average,9,Quick Bites
Wow Chinese,Race Course,Chinese,150,"No Alcohol Available, Lunch, Cash, No Seating Available, Dinner, Takeaway Available",3.5,Good,21,Quick Bites
Kumar Sweet Shop,Chukkuwala,Desserts,400,"Dinner, Takeaway Available, Debit Card, Lunch, Credit Card, Cash, Outdoor Seating, Table Reservation Not Required, Pure Veg, Indoor Seating",4.4,Very Good,153,Casual Dining
The Tea Room at Alaya,Rajpur,Fast Food,600,"Takeaway Available, Cash, Credit Card, Lunch, No Alcohol Available, Debit Card, Indoor Seating",4.4,Very Good,75,Quick Bites
Bowwow,Jakhan,"Mexican, International, Street Food, Indian, Fusion, American, Chinese",800,"Cash, Debit Card, Dinner, Serves Alcohol, Takeaway Available, Credit Card, Lunch, Delivery, Live Entertainment, Free Parking, Indoor Seating, Kid Friendly, Hookah, Private Dining Area Available, Wifi, Live Music, Karaoke, Outdoor Seating, Rooftop, Brunch, Air Conditioned, Available for Functions, Pet Friendly, Smoking Area",4.3,Very Good,105,Casual Dining
Eltham Bakery & Coffee House,Malsi,"Bakery, Cafe",500,"No Alcohol Available, Breakfast, Delivery, Credit Card, Cash, Debit Card, Digital Payments Accepted, Free Parking, Gluten Free Options, Desserts and Bakes, Smoking Area, Brunch, Indoor Seating, Air Conditioned, All Day Breakfast, Outdoor Seating",4.2,Very Good,110,Bakery
The Bong Twist,Chironwali,Bengali,500,"Credit Card, No Alcohol Available, Cash, Lunch, Takeaway Available, Dinner, Debit Card, Smoking Area, Indoor Seating, Digital Payments Accepted",4.2,Very Good,102,Casual Dining
Al Baik Chicken,Balliwala,Fast Food,200,"Lunch, Cash, Takeaway Available, No Alcohol Available, Dinner, Delivery, Outdoor Seating",4.2,Very Good,81,Quick Bites
Bistro David,Prem Nagar,Fast Food,500,"Lunch, Delivery, No Alcohol Available, Dinner, Cash, Takeaway Available, Indoor Seating, Table booking recommended",4.2,Very Good,51,Quick Bites
Bigway Cafe,Garhi Cantt,"Continental, North Indian, Chinese",550,"Lunch, Takeaway Available, Debit Card, Dinner, Cash, Delivery, Credit Card, Outdoor Seating, Air Conditioned, Wifi, Indoor Seating",4.1,Very Good,58,Quick Bites
Salt & Cravings,"Hotel President, Karanpur","Cafe, Desserts",500,"Credit Card, Cash, Dinner, Takeaway Available, No Alcohol Available, Debit Card, Lunch, Air Conditioned, Table Reservation Not Required, Free Wifi, Desserts and Bakes, Indoor Seating",4.1,Very Good,109,Cafe
FroRolls,Hathibarkala Salwala,"Desserts, Ice Cream",200,"Debit Card, Delivery, Cash, No Alcohol Available, Credit Card, Desserts and Bakes, Indoor Seating, Gluten Free Options, Air Conditioned, Pure Veg",4.1,Very Good,98,Dessert Parlour
Desi Chulha,Malsi,North Indian,800,"Lunch, Cash, Dinner, Delivery, Outdoor Seating, Indoor Seating",4.1,Very Good,107,Casual Dining
Mamma Mia Bistro By BMG,Jakhan,"North Indian, Chinese",600,"Dinner, Delivery, Credit Card, Lunch, Cash, Takeaway Available, Debit Card, Indoor Seating, Air Conditioned, Digital Payments Accepted",4.1,Very Good,17,Casual Dining
Cafe COCO - Regenta LP Vilas,"Regenta LP Vilas, Prem Nagar",Cafe,600,"Credit Card, No Alcohol Available, Dinner, Cash, Debit Card, Lunch, Indoor Seating",4.1,Very Good,65,Cafe
Keventers,"Pacific Mall, Jakhan","Beverages, Desserts, Ice Cream",400,"Takeaway Available, Mall Parking, Debit Card, Cash, Credit Card, Pure Veg, Indoor Seating, Desserts and Bakes",4.1,Very Good,57,Food Court
Tahinis,Dharampur,Fast Food,250,"Lunch, Standing Tables, Takeaway Available, Dinner, Cash",4.1,Very Good,19,Restaurant/Shop
Anandam Express,Chukkuwala,"Desserts, North Indian, Chinese, South Indian, Fast Food, Street Food",650,"Dinner, Breakfast, Lunch, Cash, Credit Card, Debit Card, Indoor Seating, Table Reservation Not Required, Pure Veg, Air Conditioned",4.1,Very Good,35,Casual Dining
The Jail,Malsi,"Cafe, Continental, Chinese",500,"Cash, No Alcohol Available, Lunch, Takeaway Available, Dinner, Indoor Seating, Table booking recommended, Outdoor Seating, Air Conditioned",2.3,Poor,116,Cafe
Cafe Coffee Day,"Crossroads Mall, Karanpur","Beverages, Cafe, Sandwich, Fast Food",500,"No Alcohol Available, Dinner, Cash, Credit Card, Lunch, Mall Parking, Takeaway Available, Debit Card, Air Conditioned, Desserts and Bakes, Indoor Seating, Digital Payments Accepted",2.3,Poor,20,Cafe
Hashtag 1Way Adda,Malsi,North Indian,400,"Lunch, Serves Alcohol, Cash, Breakfast, Dinner, Takeaway Available, Indoor Seating, Digital Payments Accepted, Beer",2.4,Poor,13,Quick Bites
NCR Kitchen,Hathibarkala Salwala,"Chinese, Fast Food",300,"Cash, Lunch, Delivery, Dinner, Takeaway Available, Indoor Seating, Digital Payments Accepted",2.4,Poor,29,Quick Bites
The Pizza Bite,Dharampur,Fast Food,500,"Delivery, Credit Card, Lunch, Takeaway Available, Debit Card, No Alcohol Available, Dinner, Cash, Indoor Seating, Digital Payments Accepted",2.4,Poor,32,Quick Bites
Janta Bakers,Chukkuwala,Bakery,200,"Cash, Lunch, Dinner, Takeaway Available, Table Reservation Not Required, Digital Payments Accepted, Air Conditioned, Desserts and Bakes, Indoor Seating, Pure Veg",2.4,Poor,14,Casual Dining
SnB Cafe,Rajpur,"Cafe, Chinese, Indian",600,"Lunch, Cash, Dinner, Breakfast, Live Music, Indoor Seating",2.5,Average,13,Cafe
The Great Grand PA Cafe,Paltan Bazaar,"North Indian, Cafe",450,"Takeaway Available, Cash, Lunch, No Alcohol Available, Dinner, Breakfast, Indoor Seating, Pure Veg, Air Conditioned, Digital Payments Accepted",2.5,Average,10,Quick Bites
The Black Pearl Lounge and Restro,Rajpur,"Chinese, North Indian",800,"Lunch, Credit Card, Debit Card, Dinner, Cash, Takeaway Available, Breakfast, DJ, Free Parking, Nightlife, Fullbar, Indoor Seating, Free Wifi, Digital Payments Accepted, Disabled Friendly, Wifi, Dance Floor, Live Sports Screening, Valet Parking Available, Live Music, Rooftop, Above 18 Only, Air Conditioned",2.6,Average,62,Casual Dining
Genesis Cafe & Restaurant,Chironwali,"Cafe, North Indian, Fast Food",700,"Dinner, Cash, No Alcohol Available, Takeaway Available, Lunch, Air Conditioned, Free Wifi, Table Reservation Not Required, Indoor Seating, Wifi, Digital Payments Accepted",2.6,Average,28,Cafe
Hotel Sun Park,Kaonli,"North Indian, Chinese, Continental",800,"Credit Card, Lunch, Breakfast, Dinner, Air Conditioned, Indoor Seating, Wifi",2.6,Average,15,Casual Dining
The Four S,Garhi Cantt,"Chinese, North Indian",500,"Cash, Takeaway Available, Lunch, Delivery, Dinner, Outdoor Seating, Indoor Seating",2.6,Average,13,Casual Dining
Mota Bhai,Balliwala,"North Indian, Chinese",300,"Dinner, Cash, Takeaway Available, Lunch, Delivery, Indoor Seating, Digital Payments Accepted",2.6,Average,5,Quick Bites
Capital Sweets,Balliwala,"Street Food, Mithai, Fast Food",250,"Delivery, Lunch, Takeaway Available, Cash, Breakfast, Dinner, Indoor Seating, Pure Veg, Desserts and Bakes, Outdoor Seating",2.6,Average,14,Quick Bites
Dana Pani Restaurant,Majra,"North Indian, Chinese",800,"Lunch, Cash, Takeaway Available, No Alcohol Available, Dinner, Delivery, Indoor Seating, Air Conditioned, Table Reservation Not Required",2.7,Average,66,Casual Dining
Chutney Merry,Krishna Nagar,"North Indian, Chinese",400,"Dinner, Delivery, Credit Card, Debit Card, Lunch, Cash, Takeaway Available, Indoor Seating, Air Conditioned, Digital Payments Accepted",2.7,Average,29,Casual Dining
New 7 Days Restaurant,Paltan Bazaar,"North Indian, Chinese",500,"Cash, Debit Card, Dinner, Delivery, Credit Card, Lunch, No Alcohol Available, Takeaway Available, Indoor Seating, Air Conditioned",2.7,Average,20,Casual Dining
Momos Bite,Garhi Cantt,"Fast Food, Momos, Chinese",250,"Lunch, Cash, Dinner, Takeaway Available, Outdoor Seating, Indoor Seating",2.7,Average,6,Quick Bites
Ludhiana Fast Food,Laxman Chowk,Fast Food,250,"Cash, Takeaway Available, Dinner, Delivery, Outdoor Seating, Pure Veg",2.7,Average,12,Quick Bites
Payal Restaurant,Chukkuwala,"North Indian, Chinese",600,"Cash, Debit Card, Credit Card, Dinner, No Alcohol Available, Takeaway Available, Lunch, Delivery, Free Parking, Digital Payments Accepted, Indoor Seating",2.7,Average,17,Quick Bites
Chennai Express,"Crossroads Mall, Karanpur",South Indian,300,"Debit Card, Dinner, Credit Card, Cash, Lunch, Takeaway Available, Mall Parking, Indoor Seating, Self Service, Air Conditioned, Pure Veg, Digital Payments Accepted",2.7,Average,4,Food Court
In-Peace Cafe & Restaurant.,Chironwali,"Cafe, North Indian, Fast Food, Chinese",350,"Dinner, Takeaway Available, Debit Card, Lunch, Serves Alcohol, Cash, Delivery, Credit Card, Outdoor Seating, Digital Payments Accepted, Smoking Area",2.7,Average,7,Cafe
Bakery Wala,Ballupur,"South Indian, Chinese, Bakery, North Indian",500,"Takeaway Available, Cash, Debit Card, Breakfast, Dinner, Delivery, No Alcohol Available, Credit Card, Lunch, Indoor Seating, Free Parking, Air Conditioned, Pure Veg, Digital Payments Accepted, All Day Breakfast",2.7,Average,13,Quick Bites
Tandoori Flames Cafe & Restaurant.,Subhash Nagar,"North Indian, Fast Food",200,"Dinner, Takeaway Available, Lunch, Cash, Debit Card, Indoor Seating, Air Conditioned, Digital Payments Accepted",2.7,Average,6,Quick Bites
Bhaiya Samose Wale,Chukkuwala,"Street Food, Fast Food",150,"Available, Cash",2.7,Average,12,Restaurant/Shop
Janta Bakers,Majra,Bakery,200,"Credit Card, Lunch, Debit Card, Dinner, Indoor Seating, Pure Veg",2.7,Average,8,Bakery
Bikanervala,Chironwali,"North Indian, Mithai, Chinese, South Indian, Street Food, Beverages",600,"Takeaway Available, Cash, Credit Card, Breakfast, Dinner, Debit Card, Lunch, Table Reservation Not Required, Indoor Seating, Pure Veg, Digital Payments Accepted",2.8,Average,49,Quick Bites
Tacos Fusion Brasserie,Karanpur,North Indian,700,"Dinner, Takeaway Available, Lunch, Cash, Indoor Seating, Air Conditioned, Digital Payments Accepted",2.8,Average,10,Casual Dining
New Al-Baiks,Jakhan,Fast Food,300,"Lunch, Cash, No Alcohol Available, Dinner, Takeaway Available, Indoor Seating",2.8,Average,26,Quick Bites
Akkis Pizza,Dharampur,"Fast Food, Pizza",300,"Dinner, Cash, Lunch, Takeaway Available, Indoor Seating, Digital Payments Accepted",2.8,Average,15,Quick Bites
Tandoori Night,Dharampur,"North Indian, Chinese",500,"Dinner, Cash, Lunch, Delivery, Indoor Seating, Digital Payments Accepted",2.8,Average,26,Casual Dining
China Town,"Crossroads Mall, Karanpur",Chinese,450,"Dinner, Cash, Mall Parking, Credit Card, Takeaway Available, Lunch, Debit Card, Air Conditioned, Indoor Seating, Digital Payments Accepted, Self Service",2.8,Average,9,Food Court
Best Of India Multicusine Family Restaurant,Chukkuwala,"Chinese, North Indian, Continental",400,"Lunch, Delivery, Credit Card, No Alcohol Available, Dinner, Cash, Takeaway Available, Debit Card, Indoor Seating, Air Conditioned",2.8,Average,7,Quick Bites
Negi Family Restaurant,Race Course,"North Indian, Chinese",250,"Dinner, Cash, Takeaway Available, Lunch, Delivery, Outdoor Seating, Digital Payments Accepted",2.8,Average,12,Quick Bites
Delhi Delight,Majra,"North Indian, Chinese",300,"Takeaway Available, Dinner, Cash, Lunch, Indoor Seating",2.8,Average,9,Quick Bites
Cafe Freedom,Malsi,Fast Food,250,"No Alcohol Available, Cash, Breakfast, Dinner, Takeaway Available, Lunch, Indoor Seating, Free Parking, Digital Payments Accepted",2.8,Average,7,Quick Bites
Masala Restaurant,Khurbura,North Indian,450,"Cash, Takeaway Available, Lunch, No Alcohol Available, Dinner, Indoor Seating",2.8,Average,15,Casual Dining
Tandoori Dhaba,Paltan Bazaar,North Indian,150,"Cash, Lunch, Dinner, No Alcohol Available, Pure Veg, Indoor Seating",2.8,Average,7,Dhaba
T3,Jakhan,"Fast Food, North Indian",500,"Lunch, Cash, Dinner, No Alcohol Available, Takeaway Available, Free Parking, Air Conditioned, Indoor Seating",2.8,Average,11,Quick Bites
Ganapati Sweets,Meedo Plaza,"South Indian, Mithai, Street Food",250,"Lunch, Takeaway Available, Dinner, Cash, Air Conditioned, Indoor Seating, Pure Veg",2.8,Average,11,Casual Dining
Hangout,Subhash Nagar,"Ice Cream, Desserts, Beverages",200,"Cash, Takeaway Available, Debit Card, Delivery, Credit Card, Outdoor Seating, Digital Payments Accepted, Desserts and Bakes",2.8,Average,7,Dessert Parlour
The Chings Chinese Restro,Jakhan,"Chinese, Thai, Momos",800,"Lunch, Cash, Takeaway Available, Dinner, Free Parking, Table booking for Groups, Indoor Seating, Digital Payments Accepted, Wifi",2.8,Average,5,Casual Dining
Chatori Tummy,Dharampur,"Chinese, Fast Food",250,"No Seating Available, Credit Card, Dinner, Takeaway Available, Cash, Debit Card, Lunch, Self Service, Digital Payments Accepted",2.8,Average,8,Quick Bites
Hwaz Khas,Balliwala,Cafe,400,"Takeaway Available, Cash, Debit Card, Dinner, No Alcohol Available, Credit Card, Lunch, Indoor Seating, Air Conditioned, Smoking Area, Hookah",2.8,Average,8,Quick Bites
Chillies N Chimneys Restaurant - Hotel G.P. Grand,Paltan Bazaar,"North Indian, Chinese",800,"Credit Card, Lunch, Dinner, Air Conditioned, Table Reservation Not Required, Indoor Seating, Pure Veg",2.8,Average,5,Casual Dining
Navratna Restaurant,Balliwala,North Indian,400,"Dinner, Cash, Takeaway Available, Lunch, Delivery, No Alcohol Available, Indoor Seating, Free Parking, Digital Payments Accepted",2.8,Average,9,Quick Bites
Dosa Paradise,Morowala,South Indian,250,"Lunch, Takeaway Available, No Alcohol Available, Dinner, Cash, Outdoor Seating",2.8,Average,5,Quick Bites
Vishal Vishnu Dhaba,Paltan Bazaar,North Indian,150,"Lunch, Dinner, Indoor Seating, Pure Veg",2.8,Average,4,Dhaba
Central Park Cafe,Race Course,"Fast Food, Chinese, Continental",300,"Lunch, Cash, Takeaway Available, No Alcohol Available, Dinner, Delivery, Debit Card, Indoor Seating",2.9,Average,79,Cafe
Pushpanjali Restaurant,Majra,"Chinese, North Indian",200,"Lunch, Takeaway Available, Dinner, Cash, Debit Card, Digital Payments Accepted",2.9,Average,29,Quick Bites
Vaango!,"Pacific Mall, Jakhan",South Indian,350,"Dinner, Mall Parking, Lunch, Takeaway Available, Credit Card, Indoor Seating, Pure Veg",2.9,Average,35,Food Court
Chicken Point,Hathibarkala Salwala,North Indian,500,"Takeaway Available, Cash, Delivery",2.9,Average,56,Restaurant/Shop
Yambis Coffee Bar,Malsi,Fast Food,800,"Credit Card, Lunch, No Alcohol Available, Takeaway Available, Cash, Debit Card, Breakfast, Dinner, Delivery, Outdoor Seating, Digital Payments Accepted, Indoor Seating",2.9,Average,26,Quick Bites
Friends Chicken Corner,Prem Nagar,North Indian,300,"Dinner, Cash, Takeaway Available, Debit Card, Lunch, Delivery, Credit Card, Indoor Seating, Digital Payments Accepted",2.9,Average,8,Quick Bites
Biryani Pind Di,Chukkuwala,"North Indian, Biryani",200,"Dinner, Takeaway Available, Lunch, Cash, Indoor Seating",2.9,Average,23,Quick Bites
Pappa Sai Naivedyam,Jakhan,"North Indian, South Indian",300,"Dinner, Takeaway Available, Breakfast, Lunch, Cash, Delivery, Credit Card, Debit Card, Indoor Seating, Air Conditioned, Smoking Area, Digital Payments Accepted",2.9,Average,19,Casual Dining
Shri Ambey Bikaner Mishthan Bhandar,Garhi Cantt,"Street Food, Mithai",400,"No Seating Available, Cash, Takeaway Available, Desserts and Bakes, Digital Payments Accepted",2.9,Average,6,Sweet Shop
Thaliwala.com,Dharampur,North Indian,300,"Takeaway Available, Cash, Digital Payments Accepted",2.9,Average,4,Restaurant/Shop
Hungry Birds,Prem Nagar,"Chinese, Fast Food",200,"Dinner, Cash, Lunch, Takeaway Available, Indoor Seating",2.9,Average,4,Quick Bites
Banjaara Restaurant,Karanpur,"North Indian, Chinese",800,"Delivery, Lunch, Cash, Dinner, Takeaway Available, Indoor Seating, Air Conditioned",2.9,Average,11,Restaurant/Shop
New Madras Cafe,Dharampur,"South Indian, Beverages",200,"Cash, Takeaway Available, Credit Card, Delivery, Debit Card, Indoor Seating, Digital Payments Accepted, Air Conditioned, Pure Veg",2.9,Average,18,Quick Bites
The Adda,Rajpur,Cafe,400,"Breakfast, Smoking Area",2.9,Average,6,Cafe
Aarush Chocolate Corner,Chironwali,"Bakery, Fast Food",200,"Cash, Takeaway Available, Delivery, Indoor Seating",2.9,Average,4,Bakery
Bakery Wala,Chironwali,Bakery,250,"Cash, Debit Card, Breakfast, Takeaway Available, Credit Card, Indoor Seating, Digital Payments Accepted, Desserts and Bakes",2.9,Average,6,Quick Bites
Hungry Jax,"Crossroads Mall, Karanpur","Fast Food, Italian",250,"Dinner, Lunch, Takeaway Available, Mall Parking, Delivery, Cash, Indoor Seating",2.9,Average,6,Food Court
Bhatias Fast Food,Race Course,Fast Food,150,"Takeaway Available, Lunch, Dinner, Cash, Digital Payments Accepted, Outdoor Seating, Indoor Seating",2.9,Average,8,Quick Bites
Fast Food Center,Khurbura,North Indian,150,"No Seating Available, Dinner, Delivery, Lunch, Cash, Takeaway Available, Pure Veg",2.9,Average,5,Restaurant/Shop
Punjabi Rasoi,Malsi,North Indian,400,"Dinner, Delivery, Lunch, Cash, Takeaway Available, Indoor Seating",2.9,Average,6,Quick Bites
Dun Kitchen,Kaonli,North Indian,200,"Dinner, Takeaway Available, Lunch, Cash, Indoor Seating",2.9,Average,5,Quick Bites
Garhwali Family Dhaba,Subhash Nagar,North Indian,300,"Cash, Takeaway Available, No Alcohol Available, Dinner, Delivery, Breakfast, Lunch, Indoor Seating",2.9,Average,10,Quick Bites
The Food City,Ballupur,"North Indian, Chinese",250,"Dinner, Delivery, Credit Card, Lunch, Cash, Takeaway Available, Debit Card, Indoor Seating",2.9,Average,7,Quick Bites
Kumar Sweet Shop,Prem Nagar,"Street Food, Fast Food, Mithai",200,"No Seating Available, Takeaway Available, Cash, Credit Card, Delivery, Debit Card, Desserts and Bakes, Air Conditioned, Digital Payments Accepted",2.9,Average,4,Sweet Shop
Cafe Hashtag Baluni,Subhash Nagar,"Fast Food, Chinese, North Indian",200,"Dinner, Takeaway Available, Debit Card, Lunch, Cash, Credit Card, Indoor Seating",2.9,Average,4,Quick Bites
Lets Hangout Restaurant & Lounge,Kaonli,"North Indian, Chinese, Continental",800,"Dinner, Delivery, Credit Card, Serves Alcohol, Lunch, Cash, Takeaway Available, Debit Card, DJ, Wine, Indoor Seating, Serves Cocktails, Air Conditioned, Smoking Area, Buffet, Outdoor Seating, Beer, Rooftop, Digital Payments Accepted, Wifi, Brunch",2.9,Average,4,Casual Dining
Taneja Restaurant,Prem Nagar,North Indian,250,"No Alcohol Available, Cash, Dinner, Takeaway Available, Lunch, Indoor Seating, Pure Veg",2.9,Average,6,Dhaba
Prakash Bhojanalya,Race Course,North Indian,400,"Cash, Dinner, Delivery, Lunch, No Alcohol Available, Takeaway Available, Indoor Seating",2.9,Average,4,Quick Bites
Binnys Quiznos,Rajpur,Fast Food,300,"Lunch, Cash, No Alcohol Available, Dinner, Takeaway Available, Indoor Seating",2.9,Average,4,Quick Bites
Darjeeling Restaurant,Garhi Cantt,"North Indian, Chinese",300,"Cash, Dinner, Takeaway Available, No Alcohol Available, Lunch, Delivery, Free Parking, Indoor Seating, Digital Payments Accepted",2.9,Average,6,Quick Bites
Suramya Cafe &amp; Restro,Prem Nagar,"Chinese, Fast Food",600,"Lunch, Credit Card, Debit Card, Dinner, Cash, Breakfast, Fullbar, Indoor Seating",2.9,Average,7,Cafe
Jhatphat,Morowala,Fast Food,200,"Dinner, Takeaway Available, Cash, Outdoor Seating",2.9,Average,6,Kiosk
Punjabi Tadka,Chironwali,North Indian,300,"Lunch, Cash, No Alcohol Available, Dinner, Delivery, Indoor Seating",2.9,Average,5,Quick Bites
Ashirwad Restaurant,Prem Nagar,Chinese,200,"Delivery, Cash, Takeaway Available, Digital Payments Accepted",2.9,Average,4,Restaurant/Shop
Kathi Roll Corner,Rajpur,Rolls,200,"No Seating Available, Takeaway Available, Cash",2.9,Average,5,Kiosk
Mahawar Bakers And Sweets,Dharampur,"North Indian, South Indian, Chinese",300,"No Alcohol Available, Dinner, Cash, Takeaway Available, Debit Card, Lunch, Delivery, Free Parking, Indoor Seating, Digital Payments Accepted, Pure Veg",2.9,Average,4,Quick Bites
Jugnu Restaurant,Race Course,North Indian,250,"Dinner, No Alcohol Available, Lunch, Takeaway Available, Cash, Indoor Seating, Pure Veg",2.9,Average,4,Dhaba
Bake My Day,Karanpur,"Bakery, Fast Food",500,"Cash, Debit Card, Delivery, Credit Card, Takeaway Available, No Seating Available, Desserts and Bakes, Indoor Seating",2.9,Average,4,Quick Bites
Wat-a-Biryani,Jakhan,Fast Food,500,"Cash, Delivery",2.9,Average,4,Quick Bites
Lip and Sip,Karanpur,Fast Food,300,"Dinner, No Alcohol Available, Cash, Lunch, Takeaway Available, Indoor Seating, Free Parking",3,Average,117,Casual Dining
